Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,118,0,13,20.339131355925375,3.106899999693269,85.69119999992836,6772.0,1.9721969285972063,0.0,14,19,26,31,45,65,77,84,86,86,86
GET,/Predict,85,0,13,18.373909411778133,4.533400000127585,76.33699999996679,10268.0,1.4206503299217164,0.0,13,20,22,26,35,54,64,76,76,76,76
GET,/history,82,0,20,25.44018048778215,7.120300000224233,93.66580000005342,568062.6585365854,1.3705097300421265,0.0,20,29,36,37,48,52,66,94,94,94,94
POST,/predict,709,0,640,691.6437002820858,3.371899999820016,2565.6073999998625,126.76727785613541,11.849895104876435,0.0,640,710,830,930,1200,1400,1600,1700,2600,2600,2600
,Aggregated,994,0,600,499.4197968812856,3.106899999693269,2565.6073999998625,48634.70020120724,16.613252093437485,0.0,600,640,700,780,1100,1300,1500,1700,2600,2600,2600
