Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,102,0,25,90.22582745102031,4.461300000002666,970.5401999999594,6772.0,3.4926536177030387,0.0,25,42,53,77,240,410,750,820,970,970,970
GET,/Predict,72,0,22,78.35630694446789,5.329200000232959,975.520399999823,10268.0,2.465402553672733,0.0,23,33,42,57,190,520,640,980,980,980,980
GET,/history,63,0,34,115.38743968250336,8.270100000117964,994.8131999999532,584521.0,2.1572272344636416,0.0,34,45,63,77,330,700,870,990,990,990,990
POST,/predict,688,0,780,929.3931002906944,2.6894999996329716,4246.838699999898,127.6875,23.55829106842834,0.0,790,960,1100,1200,1600,2200,3300,3500,4200,4200,4200
,Aggregated,925,0,690,715.1746488648658,2.6894999996329716,4246.838699999898,41451.58054054054,31.673574474267753,0.0,690,830,970,1100,1400,2000,2700,3400,4200,4200,4200
