Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,68,8,9,958.1876499999971,3.3781999999291656,6557.823799999937,5975.294117647059,1.2134720591922048,0.14276141872849468,11,19,2000,2000,4400,5600,6300,6600,6600,6600,6600
GET,/Predict,38,8,10,1047.7580710526513,3.6009000000376545,5577.699800000005,8106.315789473684,0.6781167389603499,0.14276141872849468,14,2000,2000,2000,3900,4400,5600,5600,5600,5600,5600
GET,/history,18,3,30000,26347.635805555565,2027.2996999999577,33949.80069999997,160979.33333333334,0.3212131921391131,0.05353553202318551,30000,32000,32000,33000,33000,34000,34000,34000,34000,34000,34000
POST,/predict,118,20,2000,6665.576622881353,2.7166999999508334,29940.896700000052,93.16949152542372,2.105730926245297,0.35690354682123676,2000,4700,8800,16000,22000,24000,24000,25000,30000,30000,30000
,Aggregated,242,39,2000,5643.665507851238,2.7166999999508334,33949.80069999997,14971.0,4.318532916536965,0.6959619163014117,2000,2200,5600,8000,22000,30000,32000,33000,34000,34000,34000
