Timestamp,CPU_Usage(%)
14:34:59,0.0
14:35:00,14.4
14:35:01,20.9
14:35:02,12.8
14:35:03,14.2
14:35:04,30.5
14:35:05,28.0
14:35:06,26.2
14:35:07,22.2
14:35:08,32.7
14:35:09,26.1
14:35:10,22.7
14:35:11,21.6
14:35:12,30.5
14:35:13,30.0
14:35:14,26.6
14:35:15,19.0
14:35:16,25.0
14:35:17,25.5
14:35:18,25.4
14:35:19,29.9
14:35:20,24.5
14:35:21,20.2
14:35:22,19.0
14:35:23,26.7
14:35:24,23.5
14:35:25,22.9
14:35:26,23.0
14:35:27,20.9
14:35:28,24.2
