Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,56,0,7,224.401894642816,2.7362999999240856,3532.3515000000043,6772.0,0.9440587955711167,0.0,8,11,17,18,640,1600,2500,3500,3500,3500,3500
GET,/Predict,29,0,6,294.22921034483807,3.10059999992518,3536.4817999998195,10268.0,0.48888759056361397,0.0,6,14,18,27,1600,2500,3500,3500,3500,3500,3500
GET,/history,15,0,31000,31547.64940000007,27595.179599999938,37842.163600000276,291291.86666666664,0.2528728916708348,0.0,31000,31000,35000,37000,38000,38000,38000,38000,38000,38000,38000
POST,/predict,255,0,2400,4217.156666666685,2.6389999998173153,26120.159800000238,123.24313725490197,4.298839158404192,0.0,2400,3200,4600,5100,15000,18000,21000,25000,26000,26000,26000
,Aggregated,355,0,1900,4421.658716056348,2.6389999998173153,37842.163600000276,14303.687323943663,5.984658436209758,0.0,1900,2700,3900,4900,16000,25000,31000,35000,38000,38000,38000
